Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2013/11/20,4:20AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.6C,241.5V,2.588kWh,432W,
2013/11/20,4:15AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.6C,243.0V,2.552kWh,408W,
2013/11/20,4:10AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.6C,242.3V,2.518kWh,480W,
2013/11/20,4:05AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.6C,242.2V,2.478kWh,456W,
2013/11/20,4:00AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.5C,241.7V,2.440kWh,456W,
2013/11/20,3:55AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.5C,242.1V,2.402kWh,408W,
2013/11/20,3:50AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.4C,242.9V,2.368kWh,312W,
2013/11/20,3:45AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.4C,242.5V,2.342kWh,432W,
2013/11/20,3:40AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.5C,242.2V,2.306kWh,600W,
2013/11/20,3:35AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.5C,242.2V,2.256kWh,600W,
2013/11/20,3:30AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.8C,242.2V,2.206kWh,624W,
2013/11/20,3:25AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.8C,242.1V,2.154kWh,624W,
2013/11/20,3:20AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.9C,241.6V,2.102kWh,528W,
2013/11/20,3:15AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.9C,241.5V,2.058kWh,408W,
2013/11/20,3:10AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.8C,242.5V,2.024kWh,360W,
2013/11/20,3:05AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.8C,241.7V,1.994kWh,432W,
2013/11/20,3:00AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.8C,241.7V,1.958kWh,480W,
2013/11/20,2:55AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,13.9C,242.0V,1.918kWh,432W,
2013/11/20,2:50AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,14.3C,242.3V,1.882kWh,480W,
2013/11/20,2:45AM,0.000kWh,0.000kWh/kW,0W,0W,0.000kW/kW,14.3C,244.7V,1.842kWh,384W,
