Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2009/12/20,11:55PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,-,242.6V,17.704kWh,768W,
2009/12/20,11:50PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,14.8C,242.1V,17.640kWh,696W,
2009/12/20,11:45PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,14.4C,242.5V,17.582kWh,576W,
2009/12/20,11:40PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,14.4C,243.5V,17.534kWh,432W,
2009/12/20,11:35PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,14.2C,243.6V,17.498kWh,552W,
2009/12/20,11:30PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,14.2C,243.0V,17.452kWh,576W,
2009/12/20,11:25PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,14.7C,242.4V,17.404kWh,576W,
2009/12/20,11:20PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,14.7C,242.2V,17.356kWh,600W,
2009/12/20,11:15PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,14.9C,242.2V,17.306kWh,576W,
2009/12/20,11:10PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,14.9C,242.4V,17.258kWh,624W,
2009/12/20,11:05PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,15.2C,244.4V,17.206kWh,624W,
2009/12/20,11:00PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,15.2C,244.1V,17.154kWh,576W,
2009/12/20,10:55PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,15.1C,243.8V,17.106kWh,744W,
2009/12/20,10:50PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,15.1C,243.3V,17.044kWh,720W,
2009/12/20,10:45PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,15.2C,242.5V,16.984kWh,768W,
2009/12/20,10:40PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,15.2C,242.3V,16.920kWh,744W,
2009/12/20,10:35PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,15.2C,243.5V,16.858kWh,744W,
2009/12/20,10:30PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,15.8C,242.9V,16.796kWh,480W,
2009/12/20,10:25PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,15.8C,242.9V,16.756kWh,432W,
2009/12/20,10:20PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,15.8C,242.6V,16.720kWh,408W,
2009/12/20,10:15PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,15.8C,242.8V,16.686kWh,576W,
2009/12/20,10:10PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,15.8C,243.3V,16.638kWh,552W,
2009/12/20,10:05PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,15.8C,242.4V,16.592kWh,552W,
2009/12/20,10:00PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,15.8C,242.8V,16.546kWh,624W,
2009/12/20,9:55PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,15.8C,243.9V,16.494kWh,720W,
2009/12/20,9:50PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,16.2C,243.8V,16.434kWh,"1,200W",
2009/12/20,9:45PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,16.2C,243.1V,16.334kWh,"1,104W",
2009/12/20,9:40PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,16.2C,243.5V,16.242kWh,864W,
2009/12/20,9:35PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,16.6C,243.7V,16.170kWh,"1,560W",
2009/12/20,9:30PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,16.6C,241.8V,16.040kWh,"1,344W",
2009/12/20,9:25PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,17.0C,241.9V,15.928kWh,"1,344W",
2009/12/20,9:20PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,17.7C,243.9V,15.816kWh,768W,
2009/12/20,9:15PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,17.7C,245.5V,15.752kWh,768W,
2009/12/20,9:10PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,18.1C,243.9V,15.688kWh,792W,
2009/12/20,9:05PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,18.1C,243.5V,15.622kWh,696W,
2009/12/20,9:00PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,18.1C,243.9V,15.564kWh,744W,
2009/12/20,8:55PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,18.6C,243.0V,15.502kWh,864W,
2009/12/20,8:50PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,18.6C,242.0V,15.430kWh,936W,
2009/12/20,8:45PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,20.0C,242.5V,15.352kWh,960W,
2009/12/20,8:40PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,20.0C,242.5V,15.272kWh,936W,
2009/12/20,8:35PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,19.7C,241.5V,15.194kWh,960W,
2009/12/20,8:30PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,20.4C,242.1V,15.114kWh,984W,
2009/12/20,8:25PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,20.4C,241.9V,15.032kWh,"1,032W",
2009/12/20,8:20PM,228.906kWh,6.905kWh/kW,0W,0W,0.000kW/kW,20.4C,242.6V,14.946kWh,888W,
2009/12/20,8:15PM,228.906kWh,6.905kWh/kW,12W,12W,0.000kW/kW,22.0C,242.7V,14.872kWh,828W,
2009/12/20,8:10PM,228.905kWh,6.905kWh/kW,36W,36W,0.001kW/kW,22.0C,242.5V,14.803kWh,852W,
2009/12/20,8:05PM,228.902kWh,6.905kWh/kW,108W,108W,0.003kW/kW,22.0C,241.6V,14.732kWh,948W,
2009/12/20,8:00PM,228.893kWh,6.905kWh/kW,216W,228W,0.007kW/kW,22.0C,241.3V,14.653kWh,600W,
2009/12/20,7:55PM,228.874kWh,6.904kWh/kW,300W,288W,0.009kW/kW,22.0C,242.5V,14.603kWh,612W,
2009/12/20,7:50PM,228.850kWh,6.903kWh/kW,540W,540W,0.016kW/kW,23.0C,240.8V,14.552kWh,"1,044W",
2009/12/20,7:45PM,228.805kWh,6.902kWh/kW,936W,948W,0.029kW/kW,22.4C,240.5V,14.465kWh,"1,992W",
2009/12/20,7:40PM,228.726kWh,6.900kWh/kW,"1,344W","1,344W",0.041kW/kW,22.4C,241.3V,14.299kWh,"1,560W",
2009/12/20,7:35PM,228.614kWh,6.896kWh/kW,"1,680W","1,680W",0.051kW/kW,22.4C,241.6V,14.169kWh,"1,896W",
2009/12/20,7:30PM,228.474kWh,6.892kWh/kW,"2,040W","2,028W",0.061kW/kW,22.6C,239.5V,14.011kWh,"2,352W",
2009/12/20,7:25PM,228.305kWh,6.887kWh/kW,"2,448W","2,448W",0.074kW/kW,22.6C,238.2V,13.815kWh,"3,024W",
2009/12/20,7:20PM,228.101kWh,6.881kWh/kW,"2,904W","2,904W",0.088kW/kW,22.8C,241.5V,13.563kWh,744W,
