Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2017/11/20,11:55PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.6C,242.6V,15.854kWh,444W,
2017/11/20,11:50PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.5C,242.1V,15.817kWh,672W,
2017/11/20,11:45PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.6C,242.0V,15.761kWh,744W,
2017/11/20,11:40PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.5C,241.3V,15.699kWh,696W,
2017/11/20,11:35PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.5C,242.0V,15.641kWh,720W,
2017/11/20,11:30PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.3C,242.4V,15.581kWh,600W,
2017/11/20,11:25PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.3C,241.8V,15.531kWh,600W,
2017/11/20,11:20PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.9C,242.3V,15.481kWh,672W,
2017/11/20,11:15PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.9C,242.4V,15.425kWh,816W,
2017/11/20,11:10PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.9C,242.2V,15.357kWh,816W,
2017/11/20,11:05PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.9C,242.5V,15.289kWh,696W,
2017/11/20,11:00PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.9C,243.4V,15.231kWh,744W,
2017/11/20,10:55PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.2C,243.1V,15.169kWh,888W,
2017/11/20,10:50PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.2C,242.2V,15.095kWh,"1,152W",
2017/11/20,10:45PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.7C,240.9V,14.999kWh,"1,392W",
2017/11/20,10:40PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.7C,241.1V,14.883kWh,"1,296W",
2017/11/20,10:35PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.9C,242.0V,14.775kWh,960W,
2017/11/20,10:30PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.9C,241.5V,14.695kWh,936W,
2017/11/20,10:25PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.9C,241.5V,14.617kWh,960W,
2017/11/20,10:20PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.9C,241.9V,14.537kWh,"1,032W",
2017/11/20,10:15PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.9C,241.8V,14.451kWh,"1,392W",
2017/11/20,10:10PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.9C,241.0V,14.335kWh,"1,152W",
2017/11/20,10:05PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,12.9C,241.9V,14.239kWh,"1,104W",
2017/11/20,10:00PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,13.0C,241.6V,14.147kWh,"1,056W",
2017/11/20,9:55PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,13.0C,242.2V,14.059kWh,816W,
2017/11/20,9:50PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,13.0C,241.1V,13.991kWh,864W,
2017/11/20,9:45PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,13.0C,241.2V,13.919kWh,936W,
2017/11/20,9:40PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,13.2C,241.6V,13.841kWh,936W,
2017/11/20,9:35PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,13.3C,240.8V,13.763kWh,936W,
2017/11/20,9:30PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,13.3C,243.8V,13.685kWh,960W,
2017/11/20,9:25PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,13.5C,244.4V,13.605kWh,840W,
2017/11/20,9:20PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,13.5C,243.2V,13.535kWh,960W,
2017/11/20,9:15PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,13.7C,242.9V,13.455kWh,"1,008W",
2017/11/20,9:10PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,13.8C,243.1V,13.371kWh,"1,176W",
2017/11/20,9:05PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,13.8C,241.6V,13.273kWh,"1,128W",
2017/11/20,9:00PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,14.2C,241.9V,13.179kWh,"1,128W",
2017/11/20,8:55PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,14.2C,241.6V,13.085kWh,"1,104W",
2017/11/20,8:50PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,14.2C,241.4V,12.993kWh,"1,416W",
2017/11/20,8:45PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,14.6C,242.0V,12.875kWh,"1,176W",
2017/11/20,8:40PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,14.6C,242.8V,12.777kWh,936W,
2017/11/20,8:35PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,15.2C,241.9V,12.699kWh,960W,
2017/11/20,8:30PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,15.2C,242.3V,12.619kWh,"1,344W",
2017/11/20,8:25PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,15.4C,241.9V,12.507kWh,"1,584W",
2017/11/20,8:20PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,16.0C,241.3V,12.375kWh,"2,472W",
2017/11/20,8:15PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,16.0C,241.3V,12.169kWh,"2,136W",
2017/11/20,8:10PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,16.0C,241.3V,11.991kWh,"1,176W",
2017/11/20,8:05PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,16.2C,240.9V,11.893kWh,"1,440W",
2017/11/20,8:00PM,222.696kWh,6.718kWh/kW,0W,0W,0.000kW/kW,16.2C,241.3V,11.773kWh,744W,
