Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
1930/11/20,11:55PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,14.1C,243.8V,22.292kWh,696W,
1930/11/20,11:50PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,14.3C,243.6V,22.234kWh,624W,
1930/11/20,11:45PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,14.6C,243.6V,22.182kWh,528W,
1930/11/20,11:40PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,14.6C,243.3V,22.138kWh,528W,
1930/11/20,11:35PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,14.9C,243.2V,22.094kWh,384W,
1930/11/20,11:30PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,14.9C,242.5V,22.062kWh,408W,
1930/11/20,11:25PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,14.9C,242.2V,22.028kWh,480W,
1930/11/20,11:20PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,14.8C,242.9V,21.988kWh,744W,
1930/11/20,11:15PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,14.9C,244.0V,21.926kWh,"1,176W",
1930/11/20,11:10PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,14.9C,242.9V,21.828kWh,840W,
1930/11/20,11:05PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,14.9C,243.6V,21.758kWh,"1,152W",
1930/11/20,11:00PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,15.2C,242.6V,21.662kWh,"1,032W",
1930/11/20,10:55PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,15.5C,242.6V,21.576kWh,"1,056W",
1930/11/20,10:50PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,15.5C,242.6V,21.488kWh,"1,056W",
1930/11/20,10:45PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,15.5C,241.7V,21.400kWh,"1,152W",
1930/11/20,10:40PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,15.6C,241.1V,21.304kWh,"1,032W",
1930/11/20,10:35PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,15.6C,242.3V,21.218kWh,984W,
1930/11/20,10:30PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,15.8C,242.4V,21.136kWh,984W,
1930/11/20,10:25PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,15.9C,242.1V,21.054kWh,864W,
1930/11/20,10:20PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,15.9C,242.0V,20.982kWh,864W,
1930/11/20,10:15PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,16.2C,243.0V,20.910kWh,912W,
1930/11/20,10:10PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,16.2C,242.0V,20.834kWh,"1,032W",
1930/11/20,10:05PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,16.2C,241.5V,20.748kWh,"1,152W",
1930/11/20,10:00PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,16.3C,241.6V,20.652kWh,"1,152W",
1930/11/20,9:55PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,16.3C,242.0V,20.556kWh,"1,176W",
1930/11/20,9:50PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,16.4C,241.8V,20.458kWh,"1,032W",
1930/11/20,9:45PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,16.4C,244.1V,20.372kWh,"1,080W",
1930/11/20,9:40PM,145.560kWh,4.391kWh/kW,0W,0W,0.000kW/kW,16.0C,244.1V,20.282kWh,"2,376W",
