Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2019/11/20,11:55PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,17.4C,242.5V,12.424kWh,24W,
2019/11/20,11:50PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,17.6C,243.4V,12.422kWh,504W,
2019/11/20,11:45PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,17.6C,241.4V,12.380kWh,528W,
2019/11/20,11:40PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,18.0C,241.4V,12.336kWh,504W,
2019/11/20,11:35PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,18.0C,240.9V,12.294kWh,528W,
2019/11/20,11:30PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,18.0C,243.0V,12.250kWh,696W,
2019/11/20,11:25PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,17.9C,241.3V,12.192kWh,768W,
2019/11/20,11:20PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,17.9C,243.0V,12.128kWh,576W,
2019/11/20,11:15PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,18.0C,241.4V,12.080kWh,624W,
2019/11/20,11:10PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,18.0C,241.1V,12.028kWh,672W,
2019/11/20,11:05PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,18.4C,242.5V,11.972kWh,720W,
2019/11/20,11:00PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,18.4C,240.4V,11.912kWh,744W,
2019/11/20,10:55PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,18.4C,241.7V,11.850kWh,672W,
2019/11/20,10:50PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,18.5C,240.8V,11.794kWh,552W,
2019/11/20,10:45PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,19.1C,242.2V,11.748kWh,576W,
2019/11/20,10:40PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,19.1C,241.5V,11.700kWh,552W,
2019/11/20,10:35PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,19.1C,243.4V,11.654kWh,576W,
2019/11/20,10:30PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,19.4C,242.1V,11.606kWh,576W,
2019/11/20,10:25PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,19.4C,243.2V,11.558kWh,696W,
2019/11/20,10:20PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,19.8C,241.6V,11.500kWh,600W,
2019/11/20,10:15PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,19.8C,241.7V,11.450kWh,600W,
2019/11/20,10:10PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,19.8C,242.4V,11.400kWh,624W,
2019/11/20,10:05PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,20.1C,241.2V,11.348kWh,696W,
2019/11/20,10:00PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,20.1C,241.3V,11.290kWh,720W,
2019/11/20,9:55PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,20.1C,240.5V,11.230kWh,720W,
2019/11/20,9:50PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,20.6C,240.6V,11.170kWh,744W,
2019/11/20,9:45PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,20.6C,242.0V,11.108kWh,744W,
2019/11/20,9:40PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,20.7C,241.7V,11.046kWh,768W,
2019/11/20,9:35PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,20.7C,241.3V,10.982kWh,768W,
2019/11/20,9:30PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,20.9C,241.6V,10.918kWh,840W,
2019/11/20,9:25PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,20.9C,241.2V,10.848kWh,"1,128W",
2019/11/20,9:20PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,21.1C,240.4V,10.754kWh,"1,128W",
2019/11/20,9:15PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,21.1C,240.9V,10.660kWh,912W,
2019/11/20,9:10PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,21.1C,241.4V,10.584kWh,936W,
2019/11/20,9:05PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,21.1C,242.6V,10.506kWh,"1,080W",
2019/11/20,9:00PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,21.5C,242.4V,10.416kWh,"1,104W",
2019/11/20,8:55PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,21.5C,241.6V,10.324kWh,"1,368W",
2019/11/20,8:50PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,21.9C,240.9V,10.210kWh,"2,400W",
2019/11/20,8:45PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,21.9C,241.2V,10.010kWh,"1,176W",
2019/11/20,8:40PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,21.7C,241.8V,9.912kWh,"1,128W",
2019/11/20,8:35PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,22.4C,240.8V,9.818kWh,"1,080W",
2019/11/20,8:30PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,22.4C,241.2V,9.728kWh,"1,080W",
2019/11/20,8:25PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,22.4C,241.2V,9.638kWh,"1,056W",
2019/11/20,8:20PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,22.7C,240.7V,9.550kWh,"1,080W",
2019/11/20,8:15PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,24.0C,243.8V,9.460kWh,"1,056W",
2019/11/20,8:10PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,24.0C,243.7V,9.372kWh,"1,104W",
2019/11/20,8:05PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,24.0C,243.4V,9.280kWh,768W,
2019/11/20,8:00PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,24.0C,243.1V,9.216kWh,744W,
2019/11/20,7:55PM,196.811kWh,5.937kWh/kW,0W,0W,0.000kW/kW,24.0C,243.2V,9.154kWh,768W,
2019/11/20,7:50PM,196.811kWh,5.937kWh/kW,12W,12W,0.000kW/kW,24.0C,243.4V,9.090kWh,804W,
2019/11/20,7:45PM,196.810kWh,5.937kWh/kW,36W,36W,0.001kW/kW,24.0C,243.8V,9.023kWh,780W,
