Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014/11/20,11:55PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,-,242.0V,14.846kWh,984W,
2014/11/20,11:50PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,-,241.8V,14.764kWh,576W,
2014/11/20,11:45PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,11.1C,241.8V,14.716kWh,504W,
2014/11/20,11:40PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,11.2C,242.3V,14.674kWh,528W,
2014/11/20,11:35PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,11.2C,242.4V,14.630kWh,480W,
2014/11/20,11:30PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,11.2C,242.1V,14.590kWh,432W,
2014/11/20,11:25PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,11.6C,241.8V,14.554kWh,648W,
2014/11/20,11:20PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,11.6C,242.0V,14.500kWh,"1,032W",
2014/11/20,11:15PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,11.7C,241.8V,14.414kWh,"1,152W",
2014/11/20,11:10PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,11.7C,241.5V,14.318kWh,"1,152W",
2014/11/20,11:05PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,12.3C,241.4V,14.222kWh,"1,032W",
2014/11/20,11:00PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,12.3C,241.8V,14.136kWh,"1,032W",
2014/11/20,10:55PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,12.3C,240.7V,14.050kWh,"1,128W",
2014/11/20,10:50PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,12.3C,241.2V,13.956kWh,"1,128W",
2014/11/20,10:45PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,12.5C,242.4V,13.862kWh,"1,008W",
2014/11/20,10:40PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,12.5C,242.1V,13.778kWh,"1,056W",
2014/11/20,10:35PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,12.5C,245.1V,13.690kWh,960W,
2014/11/20,10:30PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,12.5C,245.0V,13.610kWh,816W,
2014/11/20,10:25PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,13.2C,244.6V,13.542kWh,888W,
2014/11/20,10:20PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,13.2C,245.1V,13.468kWh,"1,032W",
2014/11/20,10:15PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,13.2C,244.5V,13.382kWh,"1,152W",
2014/11/20,10:10PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,13.5C,244.4V,13.286kWh,"1,128W",
2014/11/20,10:05PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,13.6C,244.3V,13.192kWh,"1,152W",
2014/11/20,10:00PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,13.6C,244.2V,13.096kWh,"1,008W",
2014/11/20,9:55PM,207.063kWh,6.246kWh/kW,0W,0W,0.000kW/kW,13.6C,244.4V,13.012kWh,"1,032W",
