Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2007/12/20,11:55PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,-,244.5V,16.366kWh,756W,
2007/12/20,11:50PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,9.8C,244.8V,16.303kWh,"1,896W",
2007/12/20,11:45PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.0C,243.2V,16.145kWh,"1,872W",
2007/12/20,11:40PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.0C,242.6V,15.989kWh,"1,896W",
2007/12/20,11:35PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.0C,242.2V,15.831kWh,"1,656W",
2007/12/20,11:30PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.0C,242.2V,15.693kWh,"1,728W",
2007/12/20,11:25PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.0C,242.1V,15.549kWh,"1,752W",
2007/12/20,11:20PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.0C,245.0V,15.403kWh,"1,848W",
2007/12/20,11:15PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.2C,244.4V,15.249kWh,"1,872W",
2007/12/20,11:10PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.1C,244.4V,15.093kWh,"1,872W",
2007/12/20,11:05PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.1C,243.9V,14.937kWh,"1,800W",
2007/12/20,11:00PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.1C,242.7V,14.787kWh,"1,680W",
2007/12/20,10:55PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.1C,242.7V,14.647kWh,"1,392W",
2007/12/20,10:50PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.1C,241.7V,14.531kWh,552W,
2007/12/20,10:45PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.2C,241.4V,14.485kWh,600W,
2007/12/20,10:40PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.2C,243.4V,14.435kWh,624W,
2007/12/20,10:35PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.3C,243.1V,14.383kWh,600W,
2007/12/20,10:30PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.3C,243.1V,14.333kWh,480W,
2007/12/20,10:25PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.3C,243.1V,14.293kWh,600W,
2007/12/20,10:20PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.3C,241.7V,14.243kWh,624W,
2007/12/20,10:15PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.3C,241.7V,14.191kWh,768W,
2007/12/20,10:10PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.3C,244.1V,14.127kWh,"1,848W",
2007/12/20,10:05PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.3C,243.0V,13.973kWh,"3,240W",
2007/12/20,10:00PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.3C,244.2V,13.703kWh,"4,080W",
2007/12/20,9:55PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.3C,243.9V,13.363kWh,"3,528W",
2007/12/20,9:50PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.3C,243.4V,13.069kWh,"1,608W",
2007/12/20,9:45PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.3C,242.3V,12.935kWh,936W,
2007/12/20,9:40PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.4C,243.5V,12.857kWh,"1,008W",
2007/12/20,9:35PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.4C,242.4V,12.773kWh,"1,032W",
2007/12/20,9:30PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.5C,243.2V,12.687kWh,"1,032W",
2007/12/20,9:25PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,10.5C,243.0V,12.601kWh,960W,
2007/12/20,9:20PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,11.0C,240.4V,12.521kWh,864W,
2007/12/20,9:15PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,11.0C,241.9V,12.449kWh,"1,032W",
2007/12/20,9:10PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,11.0C,246.1V,12.363kWh,"1,128W",
2007/12/20,9:05PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,11.2C,245.0V,12.269kWh,"1,176W",
2007/12/20,9:00PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,11.2C,243.6V,12.171kWh,"1,176W",
2007/12/20,8:55PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,11.2C,244.0V,12.073kWh,"1,176W",
2007/12/20,8:50PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,11.2C,244.5V,11.975kWh,"1,104W",
2007/12/20,8:45PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,11.2C,244.3V,11.883kWh,936W,
2007/12/20,8:40PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,11.2C,243.1V,11.805kWh,840W,
2007/12/20,8:35PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,11.2C,241.1V,11.735kWh,984W,
2007/12/20,8:30PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,11.6C,242.2V,11.653kWh,"1,008W",
2007/12/20,8:25PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,11.6C,243.8V,11.569kWh,"1,008W",
2007/12/20,8:20PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,12.8C,243.6V,11.485kWh,"1,008W",
2007/12/20,8:15PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,12.8C,243.0V,11.401kWh,"1,056W",
2007/12/20,8:10PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,12.8C,242.3V,11.313kWh,984W,
2007/12/20,8:05PM,213.210kWh,6.432kWh/kW,0W,0W,0.000kW/kW,12.8C,242.4V,11.231kWh,768W,
2007/12/20,8:00PM,213.210kWh,6.432kWh/kW,48W,48W,0.001kW/kW,14.1C,241.9V,11.167kWh,"1,056W",
2007/12/20,7:55PM,213.206kWh,6.432kWh/kW,84W,72W,0.002kW/kW,14.1C,240.3V,11.079kWh,"1,572W",
2007/12/20,7:50PM,213.200kWh,6.431kWh/kW,36W,36W,0.001kW/kW,16.0C,242.9V,10.948kWh,"1,332W",
2007/12/20,7:45PM,213.197kWh,6.431kWh/kW,132W,132W,0.004kW/kW,16.0C,243.4V,10.837kWh,"1,932W",
2007/12/20,7:40PM,213.186kWh,6.431kWh/kW,300W,300W,0.009kW/kW,16.0C,242.5V,10.676kWh,"2,484W",
2007/12/20,7:35PM,213.161kWh,6.430kWh/kW,768W,768W,0.023kW/kW,15.9C,241.7V,10.469kWh,"2,616W",
2007/12/20,7:30PM,213.097kWh,6.428kWh/kW,900W,900W,0.027kW/kW,15.9C,240.8V,10.251kWh,"1,428W",
2007/12/20,7:25PM,213.022kWh,6.426kWh/kW,840W,840W,0.025kW/kW,16.1C,240.1V,10.132kWh,"1,128W",
2007/12/20,7:20PM,212.952kWh,6.424kWh/kW,"1,272W","1,272W",0.038kW/kW,16.1C,239.6V,10.038kWh,"1,416W",
2007/12/20,7:15PM,212.846kWh,6.421kWh/kW,"2,268W","2,268W",0.068kW/kW,16.1C,240.9V,9.920kWh,636W,
2007/12/20,7:10PM,212.657kWh,6.415kWh/kW,"3,672W","3,684W",0.111kW/kW,16.1C,243.7V,9.867kWh,456W,
2007/12/20,7:05PM,212.350kWh,6.406kWh/kW,"5,580W","5,580W",0.168kW/kW,16.3C,245.2V,9.829kWh,492W,
2007/12/20,7:00PM,211.885kWh,6.392kWh/kW,"5,052W","5,052W",0.152kW/kW,16.3C,244.3V,9.788kWh,684W,
2007/12/20,6:55PM,211.464kWh,6.379kWh/kW,"3,984W","3,972W",0.120kW/kW,16.3C,243.7V,9.731kWh,624W,
2007/12/20,6:50PM,211.133kWh,6.369kWh/kW,"2,892W","2,892W",0.087kW/kW,16.5C,243.2V,9.679kWh,588W,
2007/12/20,6:45PM,210.892kWh,6.362kWh/kW,"3,624W","3,624W",0.109kW/kW,16.5C,245.4V,9.630kWh,648W,
2007/12/20,6:40PM,210.590kWh,6.353kWh/kW,"5,004W","5,004W",0.151kW/kW,16.9C,244.5V,9.576kWh,780W,
2007/12/20,6:35PM,210.173kWh,6.340kWh/kW,"5,160W","5,160W",0.156kW/kW,16.9C,244.4V,9.511kWh,744W,
2007/12/20,6:30PM,209.743kWh,6.327kWh/kW,"3,768W","3,768W",0.114kW/kW,17.0C,243.3V,9.449kWh,504W,
2007/12/20,6:25PM,209.429kWh,6.318kWh/kW,"4,368W","4,380W",0.132kW/kW,17.0C,241.9V,9.407kWh,576W,
