Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2004/12/20,11:55PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,13.5C,243.0V,33.347kWh,552W,
2004/12/20,11:50PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,14.0C,242.4V,33.301kWh,480W,
2004/12/20,11:45PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,14.0C,243.4V,33.261kWh,456W,
2004/12/20,11:40PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,14.0C,243.5V,33.223kWh,432W,
2004/12/20,11:35PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,14.0C,243.6V,33.187kWh,432W,
2004/12/20,11:30PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,14.9C,244.1V,33.151kWh,408W,
2004/12/20,11:25PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,14.9C,243.6V,33.117kWh,312W,
2004/12/20,11:20PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,15.1C,244.3V,33.091kWh,528W,
2004/12/20,11:15PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,15.3C,242.2V,33.047kWh,"1,680W",
2004/12/20,11:10PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,15.3C,242.8V,32.907kWh,"1,752W",
2004/12/20,11:05PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,15.3C,242.1V,32.761kWh,"1,104W",
2004/12/20,11:00PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,15.2C,243.0V,32.669kWh,648W,
2004/12/20,10:55PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,15.2C,242.4V,32.615kWh,672W,
2004/12/20,10:50PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,14.4C,242.7V,32.559kWh,672W,
2004/12/20,10:45PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,14.4C,242.4V,32.503kWh,576W,
2004/12/20,10:40PM,228.099kWh,6.881kWh/kW,0W,0W,0.000kW/kW,14.4C,243.3V,32.455kWh,432W,
