Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2027/11/20,11:55PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,20.2C,242.5V,28.070kWh,456W,
2027/11/20,11:50PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,20.2C,242.3V,28.032kWh,624W,
2027/11/20,11:45PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,20.3C,243.7V,27.980kWh,648W,
2027/11/20,11:40PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,20.3C,243.9V,27.926kWh,624W,
2027/11/20,11:35PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,20.5C,243.5V,27.874kWh,672W,
2027/11/20,11:30PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,20.5C,243.2V,27.818kWh,648W,
2027/11/20,11:25PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,20.5C,243.7V,27.764kWh,696W,
2027/11/20,11:20PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,20.5C,243.4V,27.706kWh,"1,704W",
2027/11/20,11:15PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,21.0C,243.6V,27.564kWh,"1,200W",
2027/11/20,11:10PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,21.0C,242.0V,27.464kWh,"1,032W",
2027/11/20,11:05PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,21.0C,242.1V,27.378kWh,552W,
2027/11/20,11:00PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,21.1C,242.1V,27.332kWh,552W,
2027/11/20,10:55PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,21.3C,241.3V,27.286kWh,528W,
2027/11/20,10:50PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,21.3C,240.9V,27.242kWh,576W,
2027/11/20,10:45PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,21.3C,240.3V,27.194kWh,624W,
2027/11/20,10:40PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,21.3C,238.0V,27.142kWh,744W,
2027/11/20,10:35PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,21.3C,239.3V,27.080kWh,792W,
2027/11/20,10:30PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,21.6C,240.0V,27.014kWh,792W,
2027/11/20,10:25PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,21.6C,240.2V,26.948kWh,768W,
2027/11/20,10:20PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,21.6C,239.1V,26.884kWh,792W,
2027/11/20,10:15PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,21.8C,239.1V,26.818kWh,792W,
2027/11/20,10:10PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,21.8C,240.6V,26.752kWh,696W,
2027/11/20,10:05PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,21.9C,240.2V,26.694kWh,600W,
2027/11/20,10:00PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,22.4C,239.9V,26.644kWh,624W,
2027/11/20,9:55PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,22.4C,239.6V,26.592kWh,600W,
2027/11/20,9:50PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,22.4C,239.5V,26.542kWh,624W,
2027/11/20,9:45PM,214.499kWh,6.471kWh/kW,0W,0W,0.000kW/kW,22.0C,239.1V,26.490kWh,624W,
