Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2011/11/20,11:55PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,16.1C,244.0V,16.098kWh,720W,
2011/11/20,11:50PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,16.1C,244.2V,16.038kWh,744W,
2011/11/20,11:45PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,16.6C,243.7V,15.976kWh,600W,
2011/11/20,11:40PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,16.6C,243.7V,15.926kWh,528W,
2011/11/20,11:35PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,16.6C,243.7V,15.882kWh,720W,
2011/11/20,11:30PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,16.8C,244.0V,15.822kWh,624W,
2011/11/20,11:25PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,16.9C,244.3V,15.770kWh,"1,296W",
2011/11/20,11:20PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,16.9C,243.7V,15.662kWh,"1,296W",
2011/11/20,11:15PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.2C,243.2V,15.554kWh,"1,248W",
2011/11/20,11:10PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.2C,243.2V,15.450kWh,"1,176W",
2011/11/20,11:05PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.3C,243.5V,15.352kWh,"1,008W",
2011/11/20,11:00PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.3C,244.1V,15.268kWh,"1,128W",
2011/11/20,10:55PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,16.7C,243.1V,15.174kWh,"1,224W",
2011/11/20,10:50PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,16.7C,242.0V,15.072kWh,"1,680W",
2011/11/20,10:45PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,16.1C,242.1V,14.932kWh,"1,008W",
2011/11/20,10:40PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,16.1C,242.3V,14.848kWh,960W,
2011/11/20,10:35PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.9C,242.5V,14.768kWh,"1,032W",
2011/11/20,10:30PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.9C,241.7V,14.682kWh,"1,032W",
2011/11/20,10:25PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.9C,242.0V,14.596kWh,"1,176W",
2011/11/20,10:20PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.0C,241.9V,14.498kWh,"1,176W",
2011/11/20,10:15PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.0C,242.3V,14.400kWh,"1,176W",
2011/11/20,10:10PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,16.9C,242.1V,14.302kWh,"1,200W",
2011/11/20,10:05PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,16.9C,242.1V,14.202kWh,"1,128W",
2011/11/20,10:00PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.2C,242.6V,14.108kWh,984W,
2011/11/20,9:55PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.2C,243.2V,14.026kWh,864W,
2011/11/20,9:50PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.2C,243.0V,13.954kWh,816W,
2011/11/20,9:45PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.4C,243.3V,13.886kWh,912W,
2011/11/20,9:40PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.4C,242.6V,13.810kWh,984W,
2011/11/20,9:35PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.5C,244.4V,13.728kWh,"1,008W",
2011/11/20,9:30PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.5C,242.6V,13.644kWh,"1,152W",
2011/11/20,9:25PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,17.5C,243.3V,13.548kWh,"1,152W",
2011/11/20,9:20PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,18.3C,242.3V,13.452kWh,"1,128W",
2011/11/20,9:15PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,18.5C,241.6V,13.358kWh,"1,176W",
2011/11/20,9:10PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,18.5C,241.4V,13.260kWh,"1,080W",
2011/11/20,9:05PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,18.5C,242.0V,13.170kWh,"1,056W",
2011/11/20,9:00PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,18.8C,242.9V,13.082kWh,"1,008W",
2011/11/20,8:55PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,19.3C,243.0V,12.998kWh,984W,
2011/11/20,8:50PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,19.3C,242.7V,12.916kWh,984W,
2011/11/20,8:45PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,21.0C,242.7V,12.834kWh,960W,
2011/11/20,8:40PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,21.0C,243.0V,12.754kWh,960W,
2011/11/20,8:35PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,20.8C,242.7V,12.674kWh,984W,
2011/11/20,8:30PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,20.8C,242.2V,12.592kWh,"1,080W",
2011/11/20,8:25PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,21.8C,242.1V,12.502kWh,"1,128W",
2011/11/20,8:20PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,21.8C,241.6V,12.408kWh,"1,128W",
2011/11/20,8:15PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,23.0C,244.2V,12.314kWh,"1,152W",
2011/11/20,8:10PM,198.783kWh,5.996kWh/kW,0W,0W,0.000kW/kW,23.0C,242.8V,12.218kWh,"1,152W",
