Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2020/11/20,11:55PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,-,242.9V,22.790kWh,744W,
2020/11/20,11:50PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,16.2C,242.5V,22.728kWh,720W,
2020/11/20,11:45PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,17.1C,242.5V,22.668kWh,768W,
2020/11/20,11:40PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,17.1C,242.3V,22.604kWh,792W,
2020/11/20,11:35PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,16.5C,241.9V,22.538kWh,744W,
2020/11/20,11:30PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,16.5C,241.5V,22.476kWh,816W,
2020/11/20,11:25PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,17.1C,241.0V,22.408kWh,816W,
2020/11/20,11:20PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,17.1C,241.7V,22.340kWh,624W,
2020/11/20,11:15PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,16.7C,241.1V,22.288kWh,624W,
2020/11/20,11:10PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,16.7C,241.0V,22.236kWh,624W,
2020/11/20,11:05PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,16.7C,241.7V,22.184kWh,624W,
2020/11/20,11:00PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,16.9C,240.9V,22.132kWh,648W,
2020/11/20,10:55PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,16.9C,240.6V,22.078kWh,696W,
2020/11/20,10:50PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,16.9C,240.7V,22.020kWh,792W,
2020/11/20,10:45PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,16.9C,241.1V,21.954kWh,792W,
2020/11/20,10:40PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,16.9C,241.3V,21.888kWh,744W,
2020/11/20,10:35PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,16.9C,240.7V,21.826kWh,792W,
2020/11/20,10:30PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,16.9C,239.9V,21.760kWh,912W,
2020/11/20,10:25PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,18.4C,238.9V,21.684kWh,744W,
2020/11/20,10:20PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,18.4C,238.8V,21.622kWh,744W,
2020/11/20,10:15PM,210.685kWh,6.356kWh/kW,0W,0W,0.000kW/kW,18.4C,241.5V,21.560kWh,648W,
