Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2025/11/20,11:55PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,-,243.4V,19.778kWh,516W,
2025/11/20,11:50PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,15.8C,243.3V,19.735kWh,600W,
2025/11/20,11:45PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,16.1C,243.3V,19.685kWh,600W,
2025/11/20,11:40PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,16.0C,241.8V,19.635kWh,624W,
2025/11/20,11:35PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,16.0C,242.3V,19.583kWh,600W,
2025/11/20,11:30PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,16.2C,242.7V,19.533kWh,624W,
2025/11/20,11:25PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,16.2C,242.5V,19.481kWh,528W,
2025/11/20,11:20PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,16.4C,242.1V,19.437kWh,360W,
2025/11/20,11:15PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,16.4C,243.0V,19.407kWh,312W,
2025/11/20,11:10PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,16.4C,243.2V,19.381kWh,360W,
2025/11/20,11:05PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,16.3C,243.1V,19.351kWh,"1,416W",
2025/11/20,11:00PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,17.4C,243.3V,19.233kWh,"1,560W",
2025/11/20,10:55PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,17.4C,242.5V,19.103kWh,528W,
2025/11/20,10:50PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,17.4C,242.5V,19.059kWh,696W,
2025/11/20,10:45PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,17.8C,242.3V,19.001kWh,696W,
2025/11/20,10:40PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,17.8C,241.8V,18.943kWh,720W,
2025/11/20,10:35PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,17.7C,241.7V,18.883kWh,648W,
2025/11/20,10:30PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,17.7C,243.6V,18.829kWh,768W,
2025/11/20,10:25PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,17.9C,244.4V,18.765kWh,"1,824W",
2025/11/20,10:20PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,17.9C,243.4V,18.613kWh,"1,968W",
2025/11/20,10:15PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,18.2C,243.4V,18.449kWh,"1,776W",
2025/11/20,10:10PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,18.6C,243.4V,18.301kWh,"1,776W",
2025/11/20,10:05PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,18.6C,243.4V,18.153kWh,"1,680W",
2025/11/20,10:00PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,18.6C,243.4V,18.013kWh,624W,
2025/11/20,9:55PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,18.6C,243.1V,17.961kWh,696W,
2025/11/20,9:50PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,18.6C,242.9V,17.903kWh,912W,
2025/11/20,9:45PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,18.3C,244.4V,17.827kWh,864W,
2025/11/20,9:40PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,18.3C,243.3V,17.755kWh,984W,
2025/11/20,9:35PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,18.3C,242.7V,17.673kWh,"1,104W",
2025/11/20,9:30PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,18.3C,242.8V,17.581kWh,"1,176W",
2025/11/20,9:25PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,18.7C,242.1V,17.483kWh,"1,176W",
2025/11/20,9:20PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,18.8C,242.2V,17.385kWh,"1,176W",
2025/11/20,9:15PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,18.8C,242.5V,17.287kWh,"1,152W",
2025/11/20,9:10PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,18.8C,242.0V,17.191kWh,"1,152W",
2025/11/20,9:05PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,19.0C,242.3V,17.095kWh,"1,008W",
2025/11/20,9:00PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,19.0C,242.6V,17.011kWh,912W,
2025/11/20,8:55PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,19.0C,242.5V,16.935kWh,912W,
2025/11/20,8:50PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,20.0C,243.1V,16.859kWh,"1,008W",
2025/11/20,8:45PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,20.0C,242.3V,16.775kWh,"1,200W",
2025/11/20,8:40PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,20.2C,242.3V,16.675kWh,"1,176W",
2025/11/20,8:35PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,20.6C,242.3V,16.577kWh,"1,632W",
2025/11/20,8:30PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,20.6C,242.0V,16.441kWh,"1,152W",
2025/11/20,8:25PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,21.2C,242.0V,16.345kWh,"1,152W",
2025/11/20,8:20PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,21.2C,242.2V,16.249kWh,"1,056W",
2025/11/20,8:15PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,21.2C,242.2V,16.161kWh,"1,104W",
2025/11/20,8:10PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,22.4C,241.8V,16.069kWh,"1,128W",
2025/11/20,8:05PM,181.677kWh,5.480kWh/kW,0W,0W,0.000kW/kW,23.0C,241.5V,15.975kWh,"1,128W",
2025/11/20,8:00PM,181.677kWh,5.480kWh/kW,12W,12W,0.000kW/kW,23.0C,241.1V,15.881kWh,"1,452W",
2025/11/20,7:55PM,181.676kWh,5.480kWh/kW,84W,84W,0.003kW/kW,24.0C,241.8V,15.760kWh,"2,196W",
2025/11/20,7:50PM,181.669kWh,5.480kWh/kW,192W,192W,0.006kW/kW,24.0C,241.4V,15.577kWh,"2,256W",
2025/11/20,7:45PM,181.653kWh,5.480kWh/kW,276W,276W,0.008kW/kW,24.0C,242.4V,15.389kWh,876W,
2025/11/20,7:40PM,181.630kWh,5.479kWh/kW,612W,600W,0.018kW/kW,24.0C,242.3V,15.316kWh,924W,
2025/11/20,7:35PM,181.580kWh,5.478kWh/kW,912W,912W,0.028kW/kW,23.4C,242.6V,15.239kWh,"1,416W",
2025/11/20,7:30PM,181.504kWh,5.475kWh/kW,"1,212W","1,200W",0.036kW/kW,23.4C,241.7V,15.121kWh,"5,652W",
2025/11/20,7:25PM,181.404kWh,5.472kWh/kW,"1,560W","1,560W",0.047kW/kW,23.9C,242.3V,14.650kWh,"5,688W",
2025/11/20,7:20PM,181.274kWh,5.468kWh/kW,"1,608W","1,620W",0.049kW/kW,23.9C,241.4V,14.176kWh,"5,760W",
2025/11/20,7:15PM,181.139kWh,5.464kWh/kW,"2,172W","2,184W",0.066kW/kW,23.9C,241.9V,13.696kWh,"5,796W",
2025/11/20,7:10PM,180.957kWh,5.459kWh/kW,"2,712W","2,712W",0.082kW/kW,23.9C,241.7V,13.213kWh,"5,856W",
2025/11/20,7:05PM,180.731kWh,5.452kWh/kW,"2,808W","2,808W",0.085kW/kW,23.9C,242.0V,12.725kWh,"5,880W",
2025/11/20,7:00PM,180.497kWh,5.445kWh/kW,"3,732W","3,744W",0.113kW/kW,24.2C,242.3V,12.235kWh,"5,964W",
2025/11/20,6:55PM,180.185kWh,5.435kWh/kW,"4,140W","4,140W",0.125kW/kW,24.2C,242.3V,11.738kWh,"5,916W",
2025/11/20,6:50PM,179.840kWh,5.425kWh/kW,"4,680W","4,680W",0.141kW/kW,24.7C,242.9V,11.245kWh,"1,296W",
2025/11/20,6:45PM,179.450kWh,5.413kWh/kW,"5,124W","5,112W",0.154kW/kW,24.7C,244.0V,11.137kWh,468W,
2025/11/20,6:40PM,179.024kWh,5.400kWh/kW,"5,712W","5,712W",0.172kW/kW,24.7C,243.7V,11.098kWh,480W,
2025/11/20,6:35PM,178.548kWh,5.386kWh/kW,"5,880W","5,880W",0.177kW/kW,24.6C,243.7V,11.058kWh,552W,
2025/11/20,6:30PM,178.058kWh,5.371kWh/kW,"6,324W","6,324W",0.191kW/kW,24.8C,242.8V,11.012kWh,516W,
2025/11/20,6:25PM,177.531kWh,5.355kWh/kW,"6,984W","6,984W",0.211kW/kW,24.8C,242.8V,10.969kWh,552W,
2025/11/20,6:20PM,176.949kWh,5.338kWh/kW,"7,476W","7,476W",0.226kW/kW,24.9C,242.8V,10.923kWh,564W,
2025/11/20,6:15PM,176.326kWh,5.319kWh/kW,"5,820W","5,808W",0.175kW/kW,24.9C,243.8V,10.876kWh,540W,
2025/11/20,6:10PM,175.842kWh,5.304kWh/kW,"5,628W","5,640W",0.170kW/kW,24.9C,242.7V,10.831kWh,828W,
2025/11/20,6:05PM,175.372kWh,5.290kWh/kW,"3,564W","3,552W",0.107kW/kW,24.9C,241.8V,10.762kWh,684W,
2025/11/20,6:00PM,175.076kWh,5.281kWh/kW,"7,620W","7,620W",0.230kW/kW,24.8C,241.7V,10.705kWh,804W,
2025/11/20,5:55PM,174.441kWh,5.262kWh/kW,"10,140W","10,140W",0.306kW/kW,24.8C,242.4V,10.638kWh,684W,
2025/11/20,5:50PM,173.596kWh,5.237kWh/kW,"10,788W","10,788W",0.325kW/kW,24.6C,243.3V,10.581kWh,612W,
2025/11/20,5:45PM,172.697kWh,5.210kWh/kW,"11,496W","11,496W",0.347kW/kW,24.6C,244.2V,10.530kWh,792W,
2025/11/20,5:40PM,171.739kWh,5.181kWh/kW,"10,548W","10,548W",0.318kW/kW,24.7C,243.8V,10.464kWh,564W,
2025/11/20,5:35PM,170.860kWh,5.154kWh/kW,"9,444W","9,456W",0.285kW/kW,24.7C,244.1V,10.417kWh,708W,
2025/11/20,5:30PM,170.072kWh,5.130kWh/kW,"11,820W","11,820W",0.357kW/kW,24.5C,244.6V,10.358kWh,396W,
2025/11/20,5:25PM,169.087kWh,5.101kWh/kW,"12,264W","12,252W",0.370kW/kW,24.5C,245.5V,10.325kWh,264W,
2025/11/20,5:20PM,168.066kWh,5.070kWh/kW,"12,960W","12,960W",0.391kW/kW,24.6C,246.2V,10.303kWh,480W,
2025/11/20,5:15PM,166.986kWh,5.037kWh/kW,"13,236W","13,236W",0.399kW/kW,24.6C,246.5V,10.263kWh,276W,
2025/11/20,5:10PM,165.883kWh,5.004kWh/kW,"13,920W","13,920W",0.420kW/kW,24.5C,246.7V,10.240kWh,480W,
2025/11/20,5:05PM,164.723kWh,4.969kWh/kW,"14,196W","14,196W",0.428kW/kW,24.5C,247.4V,10.200kWh,372W,
2025/11/20,5:00PM,163.540kWh,4.933kWh/kW,"14,592W","14,592W",0.440kW/kW,24.6C,246.6V,10.169kWh,384W,
2025/11/20,4:55PM,162.324kWh,4.897kWh/kW,"15,228W","15,228W",0.459kW/kW,24.6C,246.3V,10.137kWh,636W,
2025/11/20,4:50PM,161.055kWh,4.858kWh/kW,"15,444W","15,444W",0.466kW/kW,24.6C,246.7V,10.084kWh,420W,
2025/11/20,4:45PM,159.768kWh,4.820kWh/kW,"16,212W","16,212W",0.489kW/kW,24.8C,246.6V,10.049kWh,660W,
2025/11/20,4:40PM,158.417kWh,4.779kWh/kW,"16,416W","16,416W",0.495kW/kW,24.8C,247.0V,9.994kWh,336W,
2025/11/20,4:35PM,157.049kWh,4.738kWh/kW,"17,208W","17,196W",0.519kW/kW,24.6C,246.3V,9.966kWh,744W,
2025/11/20,4:30PM,155.616kWh,4.694kWh/kW,"17,136W","17,148W",0.517kW/kW,24.6C,247.5V,9.904kWh,240W,
2025/11/20,4:25PM,154.187kWh,4.651kWh/kW,"17,820W","17,808W",0.537kW/kW,24.6C,248.0V,9.884kWh,156W,
2025/11/20,4:20PM,152.703kWh,4.606kWh/kW,"18,144W","18,144W",0.547kW/kW,24.6C,248.3V,9.871kWh,528W,
2025/11/20,4:15PM,151.191kWh,4.561kWh/kW,"16,596W","16,596W",0.501kW/kW,24.7C,247.5V,9.827kWh,228W,
2025/11/20,4:10PM,149.808kWh,4.519kWh/kW,"19,128W","19,128W",0.577kW/kW,24.7C,248.8V,9.808kWh,504W,
