Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2008/12/20,11:55PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,10.2C,244.0V,20.246kWh,"1,752W",
2008/12/20,11:50PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,10.2C,244.4V,20.100kWh,"1,584W",
2008/12/20,11:45PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,10.8C,243.1V,19.968kWh,"1,560W",
2008/12/20,11:40PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,10.8C,242.0V,19.838kWh,"1,704W",
2008/12/20,11:35PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,10.4C,242.2V,19.696kWh,"1,680W",
2008/12/20,11:30PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,10.4C,243.1V,19.556kWh,"1,728W",
2008/12/20,11:25PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,10.4C,243.3V,19.412kWh,"1,632W",
2008/12/20,11:20PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,11.0C,242.2V,19.276kWh,"1,608W",
2008/12/20,11:15PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,11.0C,242.6V,19.142kWh,"1,656W",
2008/12/20,11:10PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,11.0C,242.3V,19.004kWh,"1,728W",
2008/12/20,11:05PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,11.4C,242.6V,18.860kWh,"1,800W",
2008/12/20,11:00PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,11.4C,243.8V,18.710kWh,"1,800W",
2008/12/20,10:55PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,11.6C,244.6V,18.560kWh,"1,824W",
2008/12/20,10:50PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,11.5C,243.1V,18.408kWh,"1,752W",
2008/12/20,10:45PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,11.5C,243.6V,18.262kWh,"2,184W",
2008/12/20,10:40PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,11.5C,243.4V,18.080kWh,"1,848W",
2008/12/20,10:35PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,11.5C,243.7V,17.926kWh,"1,776W",
2008/12/20,10:30PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,11.9C,242.6V,17.778kWh,"1,752W",
2008/12/20,10:25PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,12.5C,241.8V,17.632kWh,"1,800W",
2008/12/20,10:20PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,12.5C,242.3V,17.482kWh,"1,776W",
2008/12/20,10:15PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,12.5C,242.0V,17.334kWh,"1,872W",
2008/12/20,10:10PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,12.5C,242.3V,17.178kWh,"2,136W",
2008/12/20,10:05PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,12.5C,243.2V,17.000kWh,"2,208W",
2008/12/20,10:00PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,11.9C,242.9V,16.816kWh,"2,280W",
2008/12/20,9:55PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,12.0C,242.9V,16.626kWh,"2,448W",
2008/12/20,9:50PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,12.0C,244.1V,16.422kWh,"2,688W",
2008/12/20,9:45PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,12.5C,243.7V,16.198kWh,"2,400W",
2008/12/20,9:40PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,12.5C,243.9V,15.998kWh,"2,592W",
2008/12/20,9:35PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,12.9C,243.7V,15.782kWh,"2,616W",
2008/12/20,9:30PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,12.9C,243.1V,15.564kWh,"2,040W",
2008/12/20,9:25PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,13.7C,242.8V,15.394kWh,"2,088W",
2008/12/20,9:20PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,13.7C,242.7V,15.220kWh,"2,040W",
2008/12/20,9:15PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,13.7C,242.0V,15.050kWh,"2,136W",
2008/12/20,9:10PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,13.7C,241.6V,14.872kWh,"2,160W",
2008/12/20,9:05PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,14.2C,242.0V,14.692kWh,"2,160W",
2008/12/20,9:00PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,14.2C,244.2V,14.512kWh,"2,184W",
2008/12/20,8:55PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,14.3C,242.4V,14.330kWh,"3,216W",
2008/12/20,8:50PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,15.0C,241.0V,14.062kWh,"2,328W",
2008/12/20,8:45PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,15.0C,242.0V,13.868kWh,"2,232W",
2008/12/20,8:40PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,15.0C,242.6V,13.682kWh,"2,280W",
2008/12/20,8:35PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,15.0C,242.2V,13.492kWh,"2,328W",
2008/12/20,8:30PM,232.241kWh,7.006kWh/kW,0W,0W,0.000kW/kW,15.4C,241.7V,13.298kWh,"2,376W",
